Label,Centroid_X,Centroid_Y,Theta,Percent_Filled,BoundingBox_Ratio
airpods,253.061,189.854,-0.748439,21515.4,1.05291
airpods,258.807,189.437,-0.899842,20866.4,1.07558
airpods,259.188,189.554,-0.908586,20916.8,1.08235
airpods,258.821,188.915,-0.913962,20915.9,1.08187
airpods,259.636,189.466,-0.916278,20802.7,1.08235
airpods,256.503,189.182,-0.934992,20951.5,1.06818
airpods,253.62,185.692,-0.70433,21271.3,1.05978
airpods,255.134,186.758,-0.796952,21061.1,1.06667
airpods,254.639,188.909,-0.752686,21288.1,1.06011
airpods,251.485,187.717,-0.519908,21527.8,1.05181
watch,375.186,266.2,0.756852,16366.8,1.1691
watch,62.4037,435.507,0.426086,12011.7,0.950704
watch,69.4477,381.789,1.01792,13675.6,0.387302
watch,45.3269,397.208,1.09195,19410.1,0.613169
watch,305.936,51.9722,-1.48095,12212.2,0.559868
watch,269.186,255.219,-0.891424,14176.3,7.3284
watch,266.899,260.96,-0.88888,14169,7.39373
watch,265.441,261.171,-0.889179,14250.7,7.4203
watch,266.274,258.124,-0.890447,14215.6,7.39443
watch,265.15,260.787,-0.889026,14282.5,7.43985
watch,265.485,259.818,-0.889411,14251.7,7.38368
watch,266.903,255.742,-0.891701,14199,7.36977
watch,266.15,258.087,-0.890079,14291.3,7.43384
watch,265.42,261.372,-0.888682,14331.9,7.43165
watch,265.766,260.096,-0.889299,14298,7.45156
watch,264.957,261.142,-0.889265,14310.5,7.4363
watch,264.858,260.957,-0.889067,14261.2,7.41995
watch,265.217,259.97,-0.88968,14280.1,7.43084
watch,266.628,257.549,-0.888969,14210.4,7.43431
watch,265.8,260.593,-0.887838,14230,7.46625
watch,269.406,257.024,-0.887144,14207.9,7.39946
watch,269.802,255.439,-0.887521,14151.4,7.36511
watch,308.94,227.668,-0.966327,14085,7.36556
watch,202.488,256.645,-0.938386,14569.4,6.77706
watch,322.746,92.0245,-0.84064,14913.9,1.35606
watch,238.676,218.979,-1.19002,13870.8,7.25616
watch,265.128,225.678,-1.12961,13917.2,7.525
watch,283.292,200.758,-1.1041,13847.7,7.38571
watch,259.264,220.774,-0.439593,13801.5,7.34635
watch,290.913,236.856,-0.212239,13888.6,7.35767
watch,294.231,177.668,-0.299308,13899.5,7.36864
watch,230.313,210.554,-0.642791,13849.6,7.50076
watch,267.942,186.909,-1.03521,13832.1,7.53476
watch,283.681,224.552,-1.14397,13950.4,7.54386
watch,277.499,274.909,-1.40778,13827.6,7.19179
watch,324.696,284.436,1.51082,14112.8,0.142104
watch,298.609,250.172,1.34867,13829.5,0.136294
watch,235.131,314.31,0.919417,13666,0.134495
watch,331.055,347.667,0.718167,13427.2,0.138748
watch,338.2,273.039,0.678538,13612.3,0.136532
watch,321.699,215.648,0.666394,13935.9,0.134725
watch,322.028,222.961,0.651187,13842.3,0.13452
watch,378.432,264.541,0.465422,13990.8,0.135674
watch,380.481,230.171,0.145168,14160.7,0.138461
watch,297.479,230.938,-0.175631,13791.4,7.20811
watch,271.167,224.261,-0.309167,14009.9,7.28044
watch,369.061,243.083,-0.370148,13610.2,7.34081
watch,392.3,279.398,-0.358219,13810.7,7.30993
watch,376.022,250.662,-0.414667,13554.5,7.34843
watch,397.821,284.449,-0.569297,13757.8,7.40336
watch,421.945,222.178,-0.84929,14117.7,7.6126
watch,441.315,249.728,-1.06458,14098.8,7.46205
watch,462.005,229.597,-1.06488,14101.2,7.39895
watch,462.652,201.428,-1.27089,14256,6.60535
watch,534.002,204.161,-1.48082,14068.1,5.99783
watch,318.83,203.883,1.24228,13946.3,0.135539
watch,319.968,250.064,1.0363,13265.5,0.136073
watch,320.359,229.185,0.895365,13397.4,0.133222
watch,362.03,134.766,0.821129,13989.6,0.158657
watch,297.316,132.3,0.733061,13821.1,0.137318
watch,395.521,125.318,0.74165,14013.8,0.157324
watch,296.752,201.816,0.757413,13891.5,0.148615
watch,410.756,308.007,0.827108,13918.4,0.770393
watch,314.491,217.6,0.692927,13384,0.131955
watch,277.144,187.401,0.671735,14082.4,0.148093
watch,402.34,285.525,0.753332,13362.9,0.770971
watch,346.891,186.909,1.14757,14203,0.149965
watch,11.0512,23.5624,-1.29753,13998.7,0.478261
watch,414.084,332.609,1.21216,14312.9,0.78341
watch,389.789,181.27,-1.55199,14851,6.6375
watch,387.596,337.331,-1.5578,15912.9,0.77749
watch,9.42276,7.7832,-0.617694,13519.4,1.20833
watch,387.752,271.028,-0.938223,14276.2,6.79731
watch,298.416,393.969,-1.04967,13264.3,1.35151
watch,429.608,290.657,0.0218688,14746.4,0.150857
watch,621.467,20.8178,0.944521,13417.4,0.854839
watch,297.708,287.842,-0.0164664,12805.8,0.697318
watch,34.1357,5.53394,-0.493473,14088.7,1.5625
watch,71.4853,4.54902,-0.278635,15482.1,1.71429
watch,350.998,325.547,0.505729,14243.3,0.145216
watch,632.66,34.3355,1.47538,14958.9,0.197917
watch,231.092,259.429,0.695727,13831.1,0.761696
watch,301.761,238.476,1.50761,14187.6,0.135638
watch,356.973,258.257,-1.03401,13809.3,7.31361
watch,337.191,210.523,-0.940655,13956.9,7.46703
watch,255.598,244.965,-0.643195,14016,7.43405
watch,270.396,284.3,-0.0522175,14639.8,6.58162
watch,266.205,283.686,-0.0504696,14411.6,0.148148
watch,266.519,283.355,-0.0504616,14822.3,0.144444
watch,266.563,284.341,-0.0507595,14670.6,6.83544
watch,268.5,282.666,-0.0496619,14716.3,6.8125
watch,267.027,283.469,-0.0500505,14709.9,6.86076
watch,257.239,291.486,-0.0505,14632.1,7.45113
watch,268.121,282.416,-0.0488981,14634.4,6.83823
watch,264.771,283.979,-0.0501401,14710.6,7.00805
watch,262.901,284.724,-0.0499682,14636.6,7.04826
watch,269.404,281.717,-0.0490206,14558.1,6.73676
watch,271.296,281.454,-0.0482389,14740.8,6.75103
